severity,sheet_name,source_row,record_type,title,message
info,Officer Sistem Pelaporan,9,output,EBITDA,Dropped OUTPUT row because comment is Drop and output weight is blank.
warning,Officer Sistem Pelaporan,9,kai,Pelaksanaan optimalisasi pendapatan inti dan efisiensi biaya non-operasional,Skipped KAI because its OUTPUT row was dropped or missing.
info,Officer Sistem Pelaporan,10,kai,Efisiensi biaya Perjalanan Dinas Dept Sistem Pelaporan,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Sistem Pelaporan,11,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Sistem Pelaporan,12,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Sistem Pelaporan,13,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Sistem Pelaporan,14,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Sistem Pelaporan,15,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Sistem Pelaporan,16,kai,"a. SLA penyusunan laporan analisa capaian operasional (penerbitan nota dinas capaian operasional paling lambat tanggal 20 setiap bulannya)

b. ketepatan penyusunan laporan analisa capaian operasional dengan satuan jumlah",KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Sistem Pelaporan,17,kai,% Progress RKM,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Sistem Pelaporan,18,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Sistem Pelaporan,19,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Sistem Pelaporan,20,kai,Persentase penyelesaian tindak lanjut temuan audit internal dan eksternal,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Perencanaan Enterprise,9,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Perencanaan Enterprise,10,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Perencanaan Enterprise,11,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Perencanaan Enterprise,12,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Perencanaan Enterprise,13,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Perencanaan Enterprise,14,kai,% data yang terintegrasi antar sistem dan antar terminal dengan output 5 integrasi data,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Perencanaan Enterprise,15,kai,Pelaksanaan fungsi enterprise architecture dan integrasi sistem,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Perencanaan Enterprise,16,kai,Konfigurasi environment hybrid cloud untuk mendukung high availability,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Perencanaan Enterprise,17,kai,pengembangan aplikasi konsolidasi layanan pelanggan fase 1 2026,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Perencanaan Enterprise,18,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Perencanaan Enterprise,19,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Perencanaan Enterprise,20,kai,Persentase penyelesaian tindak lanjut temuan audit internal dan eksternal,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer PPSI,9,output,EBITDA,Dropped OUTPUT row because comment is Drop and output weight is blank.
warning,Officer PPSI,9,kai,Pelaksanaan optimalisasi pendapatan inti dan efisiensi biaya non-operasional,Skipped KAI because its OUTPUT row was dropped or missing.
info,Officer PPSI,10,output,Realisasi anggaran di group Teknologi Informasi,Dropped OUTPUT row because comment is Drop and output weight is blank.
warning,Officer PPSI,10,kai,Pelaksanaan pengendalian biaya operasional harian Teknologi Informasi,Skipped KAI because its OUTPUT row was dropped or missing.
info,Officer PPSI,11,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer PPSI,12,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer PPSI,13,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer PPSI,14,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer PPSI,15,kai,"Mengkoordinasikan, menjaga alignment, mengintegrasikan, dan mengkonsolidasikan pelaksanaan penanganan cyber attack",KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
