severity,sheet_name,source_row,record_type,title,message
info,Group Head,9,kai,Persentase Pelaksanaan Evaluasi dan Tindak Lanjut Standar Layanan,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Group Head,10,kai,Persentase Penyelesaian Dokumentasi dan Standarisasi Proses Bisnis Level 3-4,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Group Head,11,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Group Head,12,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Group Head,13,kai,Tingkat Kepatuhan Pengendalian Beban Operasional,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Group Head,14,kai,Persentase Kepatuhan Pengendalian Beban Operasional,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Group Head,15,kai,Persentase Anak Perusahaan yang Melaksanakan Program ESG Terintegrasi,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Group Head,16,kai,Persentase Kepatuhan Pelaporan ESG Sesuai Standar Nasional dan Internasional,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Group Head,17,kai,Persentase Kepatuhan Pelaksanaan Inspeksi Keselamatan Kerja,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Group Head,18,kai,Pelaksanaan program pencegahan kecelakaan kerja eksternal pada Group K3 dan Sisman,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Group Head,19,kai,Persentase Pelaksanaan Rencana Kerja K3 Sesuai Jadwal,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Group Head,20,kai,Persentase Kepatuhan Pelaksanaan Audit Internal Sistem Manajemen Terpadu,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Group Head,21,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Group Head,22,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Group Head,23,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Group Head,24,kai,Persentase Penyelesaian Tindak Lanjut Temuan Audit,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,DH Corpo Sustainability,9,output,(blank),Dropped OUTPUT row because output weight is blank.
info,DH Corpo Sustainability,10,output,(blank),Dropped OUTPUT row because output weight is blank.
info,DH Corpo Sustainability,11,output,(blank),Dropped OUTPUT row because output weight is blank.
info,DH Corpo Sustainability,12,kai,Persentase Kepatuhan Pengelolaan Biaya Operasional terhadap Anggaran,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,DH Corpo Sustainability,13,kai,Persentase Anak Perusahaan yang Melaksanakan Program ESG Terintegrasi,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,DH Corpo Sustainability,14,kai,Persentase Kepatuhan Pelaporan ESG Sesuai Standar Nasional dan Internasional,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,DH Corpo Sustainability,15,output,(blank),Dropped OUTPUT row because output weight is blank.
info,DH Corpo Sustainability,16,output,(blank),Dropped OUTPUT row because output weight is blank.
info,DH Corpo Sustainability,17,output,(blank),Dropped OUTPUT row because output weight is blank.
info,DH Corpo Sustainability,18,output,(blank),Dropped OUTPUT row because output weight is blank.
info,DH Corpo Sustainability,19,kai,Persentase Penyelesaian Tindak Lanjut Temuan Audit,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Manager Corpo Sustainability,9,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Manager Corpo Sustainability,10,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Manager Corpo Sustainability,11,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Manager Corpo Sustainability,12,kai,Persentase Kepatuhan Pengelolaan Biaya Operasional terhadap Anggaran,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Manager Corpo Sustainability,13,kai,Persentase Anak Perusahaan yang Melaksanakan Program Pelatihan dan Sosialisasi ESG,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Manager Corpo Sustainability,14,kai,Persentase Kepatuhan Pelaporan ESG Sesuai Standar Nasional dan Internasional,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Manager Corpo Sustainability,15,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Manager Corpo Sustainability,16,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Manager Corpo Sustainability,17,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Manager Corpo Sustainability,18,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Manager Corpo Sustainability,19,kai,Persentase Penyelesaian Tindak Lanjut Temuan Audit,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Corpo Sustainability,9,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Corpo Sustainability,10,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Corpo Sustainability,11,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Corpo Sustainability,12,kai,Persentase Kepatuhan Pengelolaan Biaya Operasional terhadap Anggaran,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Corpo Sustainability,13,kai,Persentase Anak Perusahaan yang Melaksanakan Program Pelatihan dan Sosialisasi ESG,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
