severity,sheet_name,source_row,record_type,title,message
info,Officer Anggaran,9,kai,"Mengkoordinasikan, menjaga alignment, mengintegrasikan, dan mengkonsolidasikan pengendalian biaya operasional",KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Anggaran,10,kai,Pelaksanaan pengelolaan dan pengawasan proses perencanaan serta monitoring performa keuangan untuk mendukung pencapaian Net Income,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Anggaran,11,kai,"Mengkoordinasikan, menjaga alignment, mengintegrasikan, dan mengkonsolidasikan pelaksanaan penyampaian laporan manajemen",KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Anggaran,12,kai,"Mengkoordinasikan, menjaga alignment, mengintegrasikan, dan mengkonsolidasikan pelaksanaan penyusunan RKAP",KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Anggaran,13,kai,Pelaksanaan roll out aplikasi Silaba ke entitas,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Anggaran,14,kai,% Jumlah entitas yang mengimplementasikan Akuntansi Biaya SAP pada entitas Subholding SPTP dan SPSL,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Anggaran,15,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Anggaran,16,kai,SLA Penyampaian Point of Concern (POC) entitas Tepat Waktu,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Anggaran,17,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Anggaran,18,kai,Pelaksanaan penyusunan laporan PMN,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Anggaran,19,kai,"Mengkoordinasikan, menjaga alignment, mengintegrasikan, dan mengkonsolidasikan pelaksanaan penyelesaian temuan audit",KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Anggaran,20,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Anggaran,21,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Anggaran,22,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Performa Keuangan,9,kai,"Mengkoordinasikan, menjaga alignment, mengintegrasikan, dan mengkonsolidasikan pengendalian biaya operasional",KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Performa Keuangan,10,kai,"Mengkoordinasikan, menjaga alignment, mengintegrasikan, dan mengkonsolidasikan pelaksanaan penyampaian laporan manajemen",KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Performa Keuangan,11,kai,"Mengkoordinasikan, menjaga alignment, mengintegrasikan, dan mengkonsolidasikan pelaksanaan penyusunan RKAP",KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Performa Keuangan,12,kai,Pelaksanaan pengelolaan dan pengawasan proses perencanaan serta monitoring performa keuangan untuk mendukung pencapaian Net Income,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Performa Keuangan,13,kai,Persentase Kepatuhan Penyusunan Laporan Keuangan Tepat Waktu dan Akurat,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Performa Keuangan,14,kai,Pelaksanaan roll out aplikasi Silaba ke entitas,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Performa Keuangan,15,kai,% Jumlah entitas yang mengimplementasikan Akuntansi Biaya SAP pada entitas Subholding SPJM dan SPMT,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Performa Keuangan,16,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Performa Keuangan,17,kai,SLA Penyampaian Point of Concern (POC) entitas Tepat Waktu,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Performa Keuangan,18,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Performa Keuangan,19,output,Realisasi Laporan PMN,Dropped OUTPUT row because comment is Drop and output weight is blank.
warning,Officer Performa Keuangan,19,kai,Pelaksanaan realisasi PMN,Skipped KAI because its OUTPUT row was dropped or missing.
info,Officer Performa Keuangan,20,kai,"Mengkoordinasikan, menjaga alignment, mengintegrasikan, dan mengkonsolidasikan pelaksanaan penyelesaian temuan audit",KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Performa Keuangan,21,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Performa Keuangan,22,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Performa Keuangan,23,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Manager Anggaran,9,kai,"Mengkoordinasikan, menjaga alignment, mengintegrasikan, dan mengkonsolidasikan pengendalian biaya operasional",KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Manager Anggaran,10,kai,"Mengkoordinasikan, menjaga alignment, mengintegrasikan, dan mengkonsolidasikan pelaksanaan penyampaian laporan manajemen",KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Manager Anggaran,11,kai,"Mengkoordinasikan, menjaga alignment, mengintegrasikan, dan mengkonsolidasikan pelaksanaan penyusunan RKAP",KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Manager Anggaran,12,kai,Pelaksanaan pengelolaan dan pengawasan proses perencanaan serta monitoring performa keuangan untuk mendukung pencapaian Net Income,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Manager Anggaran,13,kai,Pelaksanaan roll out aplikasi Silaba ke entitas,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Manager Anggaran,14,kai,% Jumlah entitas yang mengimplementasikan Akuntansi Biaya SAP pada entitas Subholding SPTP dan SPSL,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Manager Anggaran,15,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Manager Anggaran,16,kai,SLA Penyampaian Point of Concern (POC) entitas Tepat Waktu,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Manager Anggaran,17,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Manager Anggaran,18,kai,Pelaksanaan realisasi PMN,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Manager Anggaran,19,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Manager Anggaran,20,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Manager Anggaran,21,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Manager Anggaran,22,kai,"Mengkoordinasikan, menjaga alignment, mengintegrasikan, dan mengkonsolidasikan pelaksanaan penyelesaian temuan audit",KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Manager Performa Keuangan,9,kai,"Mengkoordinasikan, menjaga alignment, mengintegrasikan, dan mengkonsolidasikan pengendalian biaya operasional",KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Manager Performa Keuangan,10,kai,"Mengkoordinasikan, menjaga alignment, mengintegrasikan, dan mengkonsolidasikan pelaksanaan penyampaian laporan manajemen",KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Manager Performa Keuangan,11,kai,"Mengkoordinasikan, menjaga alignment, mengintegrasikan, dan mengkonsolidasikan pelaksanaan penyusunan RKAP",KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Manager Performa Keuangan,12,kai,Pelaksanaan pengelolaan dan pengawasan proses perencanaan serta monitoring performa keuangan untuk mendukung pencapaian Net Income,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Manager Performa Keuangan,13,kai,Persentase Kepatuhan Penyusunan Laporan Keuangan Tepat Waktu dan Akurat,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Manager Performa Keuangan,14,kai,Pelaksanaan roll out aplikasi Silaba ke entitas,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Manager Performa Keuangan,15,kai,% Jumlah entitas yang mengimplementasikan Akuntansi Biaya SAP pada entitas Subholding SPJM dan SPMT,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Manager Performa Keuangan,16,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Manager Performa Keuangan,17,kai,SLA Penyampaian Point of Concern (POC) entitas Tepat Waktu,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Manager Performa Keuangan,18,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Manager Performa Keuangan,19,output,Realisasi Laporan PMN,Dropped OUTPUT row because comment is Drop and output weight is blank.
warning,Manager Performa Keuangan,19,kai,Pelaksanaan realisasi PMN,Skipped KAI because its OUTPUT row was dropped or missing.
info,Manager Performa Keuangan,20,kai,"Mengkoordinasikan, menjaga alignment, mengintegrasikan, dan mengkonsolidasikan pelaksanaan penyelesaian temuan audit",KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Manager Performa Keuangan,21,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Manager Performa Keuangan,22,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Manager Performa Keuangan,23,output,(blank),Dropped OUTPUT row because output weight is blank.
info,DH Perencanaan Keuangan,9,kai,"Mengkoordinasikan, menjaga alignment, mengintegrasikan, dan mengkonsolidasikan pengendalian biaya operasional",KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,DH Perencanaan Keuangan,10,kai,"Mengkoordinasikan, menjaga alignment, mengintegrasikan, dan mengkonsolidasikan pelaksanaan penyampaian laporan manajemen",KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,DH Perencanaan Keuangan,11,kai,"Mengkoordinasikan, menjaga alignment, mengintegrasikan, dan mengkonsolidasikan pelaksanaan penyusunan RKAP",KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,DH Perencanaan Keuangan,12,kai,Pelaksanaan pengelolaan dan pengawasan proses perencanaan serta monitoring performa keuangan untuk mendukung pencapaian Net Income,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,DH Perencanaan Keuangan,13,kai,Pelaksanaan roll out aplikasi Silaba ke entitas,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,DH Perencanaan Keuangan,14,kai,% Jumlah entitas yang mengimplementasikan Akuntansi Biaya SAP pada entitas Subholding SPTP dan SPSL,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,DH Perencanaan Keuangan,15,output,(blank),Dropped OUTPUT row because output weight is blank.
info,DH Perencanaan Keuangan,16,kai,SLA Penyampaian Point of Concern (POC) entitas Tepat Waktu,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,DH Perencanaan Keuangan,17,output,(blank),Dropped OUTPUT row because output weight is blank.
info,DH Perencanaan Keuangan,18,kai,Pelaksanaan realisasi PMN,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,DH Perencanaan Keuangan,19,output,(blank),Dropped OUTPUT row because output weight is blank.
info,DH Perencanaan Keuangan,20,output,(blank),Dropped OUTPUT row because output weight is blank.
info,DH Perencanaan Keuangan,21,output,(blank),Dropped OUTPUT row because output weight is blank.
info,DH Perencanaan Keuangan,22,kai,"Mengkoordinasikan, menjaga alignment, mengintegrasikan, dan mengkonsolidasikan pelaksanaan penyelesaian temuan audit",KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,DH Performa Keuangan,9,kai,"Mengkoordinasikan, menjaga alignment, mengintegrasikan, dan mengkonsolidasikan pengendalian biaya operasional",KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,DH Performa Keuangan,10,kai,"Mengkoordinasikan, menjaga alignment, mengintegrasikan, dan mengkonsolidasikan pelaksanaan penyampaian laporan manajemen",KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,DH Performa Keuangan,11,kai,"Mengkoordinasikan, menjaga alignment, mengintegrasikan, dan mengkonsolidasikan pelaksanaan penyusunan RKAP",KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,DH Performa Keuangan,12,kai,Pelaksanaan pengelolaan dan pengawasan proses perencanaan serta monitoring performa keuangan untuk mendukung pencapaian Net Income,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,DH Performa Keuangan,13,kai,Persentase Kepatuhan Penyusunan Laporan Keuangan Tepat Waktu dan Akurat,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,DH Performa Keuangan,14,kai,Pelaksanaan roll out aplikasi Silaba ke entitas,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,DH Performa Keuangan,15,kai,% Jumlah entitas yang mengimplementasikan Akuntansi Biaya SAP pada entitas Subholding SPJM dan SPMT,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,DH Performa Keuangan,16,output,(blank),Dropped OUTPUT row because output weight is blank.
info,DH Performa Keuangan,17,kai,SLA Penyampaian Point of Concern (POC) entitas Tepat Waktu,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,DH Performa Keuangan,18,output,(blank),Dropped OUTPUT row because output weight is blank.
info,DH Performa Keuangan,19,output,Realisasi Laporan PMN,Dropped OUTPUT row because comment is Drop and output weight is blank.
warning,DH Performa Keuangan,19,kai,Pelaksanaan realisasi PMN,Skipped KAI because its OUTPUT row was dropped or missing.
info,DH Performa Keuangan,20,output,(blank),Dropped OUTPUT row because output weight is blank.
info,DH Performa Keuangan,21,output,(blank),Dropped OUTPUT row because output weight is blank.
info,DH Performa Keuangan,22,output,(blank),Dropped OUTPUT row because output weight is blank.
info,DH Performa Keuangan,23,kai,"Mengkoordinasikan, menjaga alignment, mengintegrasikan, dan mengkonsolidasikan pelaksanaan penyelesaian temuan audit",KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Group Head,9,kai,"Mengkoordinasikan, menjaga alignment, mengintegrasikan, dan mengkonsolidasikan pengendalian biaya operasional",KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Group Head,10,kai,Persentase Kepatuhan Penyusunan Laporan Keuangan Tepat Waktu dan Akurat,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
