severity,sheet_name,source_row,record_type,title,message
info,Officer MEKO ,3,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer MEKO ,4,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer MEKO ,5,kai,Jumlah analisis dan pelaporan strategis sesuai jadwal Dept Monitoring dan Evaluasi Klaster Optimalisasi Korporasi,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer MEKO ,6,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer MEKO ,7,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer MEKO ,8,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer MEKO ,9,kai,Persentase Penyelesaian Temuan Audit Internal Tepat Waktu pada Dept Monitoring dan Evaluasi Klaster Optimalisasi Korporasi,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer MEKO ,10,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer MEKO ,11,kai,Persentase Penyelesaian Pemetaan Rencana Implementasi Strategi Perusahaan pada Dept Monitoring dan Evaluasi Klaster Optimalisasi Korporasi,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer MEKO ,12,kai,Jumlah pelaporan progress implementasi strategi perusahaan pada Dept Monitoring dan Evaluasi Klaster Optimalisasi Korporasi,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer MEKO ,13,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer MEKO ,15,kai,4,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer MEKA ,3,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer MEKA ,4,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer MEKA ,5,kai,Jumlah analisis dan pelaporan strategis sesuai jadwal Dept Monitoring dan Evaluasi Klaster Ekspansi Korporasi,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer MEKA ,6,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer MEKA ,7,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer MEKA ,8,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer MEKA ,9,kai,Persentase Penyelesaian Temuan Audit Internal Tepat Waktu pada Dept Monitoring dan Evaluasi Klaster Ekspansi Korporasi,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer MEKA ,10,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer MEKA ,11,kai,Persentase Penyelesaian Pemetaan Rencana Implementasi Strategi Perusahaan pada Dept Monitoring dan Evaluasi Klaster Ekspansi Korporasi,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer MEKA ,12,kai,Jumlah pelaporan progress implementasi strategi perusahaan pada Dept Monitoring dan Evaluasi Klaster Ekspansi Korporasi,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer MEKA ,13,kai,Koordinasi pengumpulan data untuk penyusunan laporan final PELINDO pasca penggabungan 2021-2025 pada pada Dept Monitoring dan Evaluasi Klaster Ekspansi Korporasi,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer MEKA ,14,kai,Pelaksanaan pelatihan dan/atau pendampingan terkait peningkatan kompetensi fungsi MonEv strategi perusahaan pada Dept Monitoring dan Evaluasi Klaster Ekspansi Korporasi,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Riset & Inovasi ,4,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Riset & Inovasi ,5,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Riset & Inovasi ,6,kai,Jumlah analisis dan pelaporan strategis sesuai jadwal  Dept Riset dan Inovasi,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Riset & Inovasi ,7,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Riset & Inovasi ,8,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Riset & Inovasi ,9,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Riset & Inovasi ,10,kai,Persentase Penyelesaian Temuan Audit Internal Tepat Waktu pada  Dept Riset dan Inovasi,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Riset & Inovasi ,11,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Riset & Inovasi ,12,kai,% Program riset yang terealisasi sesuai jadwal pada Dept Riset dan Inovasi,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Riset & Inovasi ,13,kai,% Program Inovasi yang terealisasi sesuai jadwal pada Dept Riset dan Inovasi,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Riset & Inovasi ,14,kai,% Program pengembangan innovation center of excellence sesuai jadwal,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Riset & Inovasi ,16,kai,5,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Manajemen Perubahan,4,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Manajemen Perubahan,5,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Manajemen Perubahan,6,kai,Jumlah analisis dan pelaporan strategis sesuai jadwal Dept Manajemen Perubahan,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
