severity,sheet_name,source_row,record_type,title,message
info,Manager Lingkungan,9,kai,Pelaksanaan pengelolaan keuangan untuk mendukung pencapaian Net Income pada Group Fasilitas Pelabuhan,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Manager Lingkungan,10,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Manager Lingkungan,11,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Manager Lingkungan,12,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Manager Lingkungan,13,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Manager Lingkungan,14,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Manager Lingkungan,15,output,Tindaklanjut Sanksi Administratif KLH,Dropped OUTPUT row because comment is Drop and output weight is blank.
warning,Manager Lingkungan,15,kai,Pelaksanaan tindak lanjut sanksi administratif KLH pada Group Fasilitas Pelabuhan,Skipped KAI because its OUTPUT row was dropped or missing.
info,Manager Lingkungan,16,kai,Jumlah Laporan Kemajuan Sanksi Administratif KLH yang Disusun dan Disampaikan,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Manager Lingkungan,17,kai,% Cabang yang melakukan program penilaian pengelolaan lingkungan sesuai standar PROPER berdasarkan Keputusan Menteri LH,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Manager Lingkungan,18,kai,Pelaksanaan Program Monitoring Kepatuhan Lingkungan,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Manager Lingkungan,19,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Manager Lingkungan,20,kai,Persentase Dokumen Persetujuan Lingkungan yang Diselesaikan Tepat Waktu,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Manager Lingkungan,21,kai,Persentase penyelesaian tindak lanjut temuan audit internal,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Lingkungan,9,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Lingkungan,10,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Lingkungan,11,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Lingkungan,12,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Lingkungan,13,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Lingkungan,14,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Lingkungan,15,output,Tindaklanjut Sanksi Administratif KLH,Dropped OUTPUT row because comment is Drop and output weight is blank.
warning,Officer Lingkungan,15,kai,Pelaksanaan tindak lanjut sanksi administratif KLH pada Group Fasilitas Pelabuhan,Skipped KAI because its OUTPUT row was dropped or missing.
info,Officer Lingkungan,16,kai,Jumlah Laporan Kemajuan Sanksi Administratif KLH yang Disusun dan Disampaikan,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Lingkungan,17,kai,% Cabang yang melakukan program penilaian pengelolaan lingkungan sesuai standar PROPER berdasarkan Keputusan Menteri LH,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Lingkungan,18,kai,Pelaksanaan Program Monitoring Kepatuhan Lingkungan,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Lingkungan,19,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Lingkungan,20,kai,Persentase Dokumen Persetujuan Lingkungan yang Diselesaikan Tepat Waktu,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Lingkungan,21,kai,Persentase penyelesaian tindak lanjut temuan audit internal,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Perencanaan FasPel,9,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Perencanaan FasPel,10,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Perencanaan FasPel,11,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Perencanaan FasPel,12,kai,monitoring tingkat kepatuhan pelaporan availability dan jadwal pemeliharan fasilitas pelabuhan,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Perencanaan FasPel,13,kai,"(Jumlah Penyelesaian kegiatan survey / Permohonan Bantuan Survey) x 100%
catatan: Jika tidak ada permintaan bantuan survey maka akan mendapatkan skor penuh",KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Perencanaan FasPel,14,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Perencanaan FasPel,15,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Perencanaan FasPel,16,kai,"Mengkoordinasikan, menjaga alignment, mengintegrasikan, dan mengkonsolidasikan pelaksanaan komitmen TKDN",KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Perencanaan FasPel,17,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Officer Perencanaan FasPel,18,kai,"Mengkoordinasikan, menjaga alignment, mengintegrasikan, dan mengkonsolidasikan pelaksanaan perencanaan teknis pengerukan alur dan kolam di Regional",KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Perencanaan FasPel,19,kai,Tingkat Kepatuhan Penyelesaian Evaluasi Permohonan Persetujuan Proses Lelang Sesuai Waktu yang Ditentukan,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Perencanaan FasPel,20,kai,Progress Penyelesaian pekerjaan jasa konsultasi review design soil improvement area PT-1 dan PT-2 dan CT-3 terminal kalibaru,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Perencanaan FasPel,21,kai,Progress Penyelesaian pekerjaan jasa konsultasi design infrastruktur pavement area CT-2 terminal kalibaru,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Perencanaan FasPel,22,kai,progress Penyelesaian pekerjaan jasa konsultasi design penggantian rail crane dermaga utara JICT,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Perencanaan FasPel,23,kai,progress penyelesaian pekerjaan jasa konsultasi design revetment belakang dermaga di Area pengembangan 2 pelabuhan Benoa,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Perencanaan FasPel,24,kai,"progress penyelesaian pekerjaan jasa konsultasi kajian hidrodinamika, sedimentasi dan morfodinamika di teluk benoa",KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Perencanaan FasPel,25,kai,progress penyelesaian Pekerjaan Review design struktur pelindung abrasi pada area pembangunan dan pengembangan terminal Kijing,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Perencanaan FasPel,26,kai,progress penyelesaian Pekerjaan review design fasilitas dermaga kepanduan pada area pembangunan dan pengembangan terminal Kijing,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Officer Perencanaan FasPel,27,output,(blank),Dropped OUTPUT row because output weight is blank.
info,DH Lingkungan,9,kai,Pelaksanaan pengelolaan keuangan untuk mendukung pencapaian Net Income pada Group Fasilitas Pelabuhan,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,DH Lingkungan,10,output,(blank),Dropped OUTPUT row because output weight is blank.
info,DH Lingkungan,11,output,(blank),Dropped OUTPUT row because output weight is blank.
info,DH Lingkungan,12,output,(blank),Dropped OUTPUT row because output weight is blank.
info,DH Lingkungan,13,output,(blank),Dropped OUTPUT row because output weight is blank.
info,DH Lingkungan,14,output,(blank),Dropped OUTPUT row because output weight is blank.
info,DH Lingkungan,15,output,Tindaklanjut Sanksi Administratif KLH,Dropped OUTPUT row because comment is Drop and output weight is blank.
warning,DH Lingkungan,15,kai,Pelaksanaan tindak lanjut sanksi administratif KLH pada Group Fasilitas Pelabuhan,Skipped KAI because its OUTPUT row was dropped or missing.
info,DH Lingkungan,16,kai,Jumlah Laporan Kemajuan Sanksi Administratif KLH yang Disusun dan Disampaikan,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,DH Lingkungan,17,kai,% Cabang yang melakukan program penilaian pengelolaan lingkungan sesuai standar PROPER berdasarkan Keputusan Menteri LH,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,DH Lingkungan,18,kai,Pelaksanaan Program Monitoring Kepatuhan Lingkungan,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,DH Lingkungan,19,output,(blank),Dropped OUTPUT row because output weight is blank.
info,DH Lingkungan,20,kai,Persentase Dokumen Persetujuan Lingkungan yang Diselesaikan Tepat Waktu,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,DH Lingkungan,21,kai,Persentase penyelesaian tindak lanjut temuan audit internal,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,DH Perencanaan FasPel,9,output,(blank),Dropped OUTPUT row because output weight is blank.
info,DH Perencanaan FasPel,10,output,(blank),Dropped OUTPUT row because output weight is blank.
info,DH Perencanaan FasPel,11,output,(blank),Dropped OUTPUT row because output weight is blank.
info,DH Perencanaan FasPel,12,kai,monitoring tingkat kepatuhan pelaporan availability dan jadwal pemeliharan fasilitas pelabuhan,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,DH Perencanaan FasPel,13,kai,"(Jumlah Penyelesaian kegiatan survey / Permohonan Bantuan Survey) x 100%
catatan: Jika tidak ada permintaan bantuan survey maka akan mendapatkan skor penuh",KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,DH Perencanaan FasPel,14,output,(blank),Dropped OUTPUT row because output weight is blank.
info,DH Perencanaan FasPel,15,output,(blank),Dropped OUTPUT row because output weight is blank.
info,DH Perencanaan FasPel,16,kai,"Mengkoordinasikan, menjaga alignment, mengintegrasikan, dan mengkonsolidasikan pelaksanaan komitmen TKDN",KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,DH Perencanaan FasPel,17,output,(blank),Dropped OUTPUT row because output weight is blank.
info,DH Perencanaan FasPel,18,kai,"Mengkoordinasikan, menjaga alignment, mengintegrasikan, dan mengkonsolidasikan pelaksanaan perencanaan teknis pengerukan alur dan kolam di Regional",KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,DH Perencanaan FasPel,19,kai,Tingkat Kepatuhan Penyelesaian Evaluasi Permohonan Persetujuan Proses Lelang Sesuai Waktu yang Ditentukan,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,DH Perencanaan FasPel,20,kai,Monitoring progress pekerjaan jasa konsultansi yang telah ditetapkan oleh perusahaan,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,DH Perencanaan FasPel,21,kai,Persentase Pelaksanaan Tindak Lanjut Rencana Perbaikan Audit Tepat Waktu,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Group Head,9,kai,Pelaksanaan pengelolaan keuangan untuk mendukung pencapaian Net Income pada Group Fasilitas Pelabuhan,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Group Head,10,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Group Head,11,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Group Head,12,kai,monitoring tingkat kepatuhan pelaporan availability dan jadwal pemeliharan fasilitas pelabuhan,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Group Head,13,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Group Head,14,output,Delta Pengurangan Kecelakaan Kerja Eksternal,Dropped OUTPUT row because comment is Drop and output weight is blank.
warning,Group Head,14,kai,Pelaksanaan program pencegahan kecelakaan kerja eksternal pada Group Fasilitas Pelabuhan,Skipped KAI because its OUTPUT row was dropped or missing.
info,Group Head,15,kai,Jumlah Laporan Kemajuan Sanksi Administratif KLH yang Disusun dan Disampaikan,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Group Head,16,kai,Pelaksanaan program dan inisiatif lingkungan untuk mendukung pencapaian PROPER Biru pada Group Fasilitas Pelabuhan,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Group Head,17,kai,"Mengkoordinasikan, menjaga alignment, mengintegrasikan, dan mengkonsolidasikan pelaksanaan komitmen TKDN",KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Group Head,18,kai,Pelaksanaan pemenuhan peraturan di bidang lingkungan pada Group Fasilitas Pelabuhan,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Group Head,19,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Group Head,20,kai,"Mengkoordinasikan, menjaga alignment, mengintegrasikan, dan mengkonsolidasikan pelaksanaan perencanaan teknis pengerukan alur dan kolam oleh Department Head pada Group Fasilitas Pelabuhan",KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Group Head,21,kai,Pelaksanaan program penyusunan dokumen desain pekerjaan pada Group Fasilitas Pelabuhan,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Group Head,22,kai,Pelaksanaan pengurusan persetujuan lingkungan untuk Proyek Strategis Nasional pada Group Fasilitas Pelabuhan,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Group Head,23,kai,"Mengkoordinasikan, menjaga alignment, mengintegrasikan, dan mengkonsolidasikan pelaksanaan penyelesaian temuan audit oleh Department Head dan level di bawahnya pada Group Fasilitas Pelabuhan",KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Manager Lingkungan,9,IMPACT,Net Income,enum_issue category=normalized; field=Polarity; raw=Positif; normalized=POSITIVE; Polarity normalized to POSITIVE.
info,Manager Lingkungan,9,IMPACT,Net Income,enum_issue category=normalized; field=Period; raw=Triwulanan; normalized=TRIWULANAN; Period normalized to TRIWULANAN.
info,Manager Lingkungan,10,IMPACT,(ROIC > WACC) x Inv.Capital,enum_issue category=normalized; field=Polarity; raw=Positif; normalized=POSITIVE; Polarity normalized to POSITIVE.
info,Manager Lingkungan,10,IMPACT,(ROIC > WACC) x Inv.Capital,enum_issue category=normalized; field=Period; raw=Triwulanan; normalized=TRIWULANAN; Period normalized to TRIWULANAN.
info,Manager Lingkungan,11,IMPACT,Traffic Volume,enum_issue category=normalized; field=Polarity; raw=Positif; normalized=POSITIVE; Polarity normalized to POSITIVE.
info,Manager Lingkungan,11,IMPACT,Traffic Volume,enum_issue category=normalized; field=Period; raw=Triwulanan; normalized=TRIWULANAN; Period normalized to TRIWULANAN.
info,Manager Lingkungan,12,IMPACT,Total Productivity,enum_issue category=normalized; field=Polarity; raw=Positif; normalized=POSITIVE; Polarity normalized to POSITIVE.
info,Manager Lingkungan,12,IMPACT,Total Productivity,enum_issue category=normalized; field=Period; raw=Triwulanan; normalized=TRIWULANAN; Period normalized to TRIWULANAN.
info,Manager Lingkungan,13,IMPACT,Number of KRI exceeding its risk tolerance limit,enum_issue category=normalized; field=Polarity; raw=Positif; normalized=POSITIVE; Polarity normalized to POSITIVE.
info,Manager Lingkungan,13,IMPACT,Number of KRI exceeding its risk tolerance limit,enum_issue category=normalized; field=Period; raw=Triwulanan; normalized=TRIWULANAN; Period normalized to TRIWULANAN.
info,Manager Lingkungan,14,IMPACT,Lost Time Injury Frequency Rate (LTIFR),enum_issue category=normalized; field=Polarity; raw=Negatif; normalized=NEGATIVE; Polarity normalized to NEGATIVE.
info,Manager Lingkungan,14,IMPACT,Lost Time Injury Frequency Rate (LTIFR),enum_issue category=normalized; field=Period; raw=Triwulanan; normalized=TRIWULANAN; Period normalized to TRIWULANAN.
info,Manager Lingkungan,15,IMPACT,ESG Rating,enum_issue category=normalized; field=Polarity; raw=Positif; normalized=POSITIVE; Polarity normalized to POSITIVE.
info,Manager Lingkungan,15,IMPACT,ESG Rating,enum_issue category=normalized; field=Period; raw=Triwulanan; normalized=TRIWULANAN; Period normalized to TRIWULANAN.
info,Manager Lingkungan,19,IMPACT,Pengembangan Ekosistem Bali Maritime Tourism Hub (BMTH),enum_issue category=normalized; field=Polarity; raw=Positif; normalized=POSITIVE; Polarity normalized to POSITIVE.
info,Manager Lingkungan,19,IMPACT,Pengembangan Ekosistem Bali Maritime Tourism Hub (BMTH),enum_issue category=normalized; field=Period; raw=Triwulanan; normalized=TRIWULANAN; Period normalized to TRIWULANAN.
info,Manager Lingkungan,20,IMPACT,Strategic Project Delivery,enum_issue category=normalized; field=Polarity; raw=Positif; normalized=POSITIVE; Polarity normalized to POSITIVE.
info,Manager Lingkungan,20,IMPACT,Strategic Project Delivery,enum_issue category=normalized; field=Period; raw=Triwulanan; normalized=TRIWULANAN; Period normalized to TRIWULANAN.
info,Manager Lingkungan,21,IMPACT,Manpower productivity (Revenue per total manpower),enum_issue category=normalized; field=Polarity; raw=Negatif; normalized=NEGATIVE; Polarity normalized to NEGATIVE.
info,Manager Lingkungan,21,IMPACT,Manpower productivity (Revenue per total manpower),enum_issue category=normalized; field=Period; raw=Triwulanan; normalized=TRIWULANAN; Period normalized to TRIWULANAN.
info,Manager Lingkungan,9,OUTPUT,Net Income,enum_issue category=normalized; field=Period; raw=Triwulanan; normalized=TRIWULANAN; Period normalized to TRIWULANAN.
info,Manager Lingkungan,9,OUTPUT,Net Income,enum_issue category=normalized; field=Polarity; raw=Positif; normalized=POSITIVE; Polarity normalized to POSITIVE.
info,Manager Lingkungan,16,OUTPUT,Pelaporan Progress Sanksi Administratif KLH,enum_issue category=normalized; field=Period; raw=Triwulanan; normalized=TRIWULANAN; Period normalized to TRIWULANAN.
info,Manager Lingkungan,16,OUTPUT,Pelaporan Progress Sanksi Administratif KLH,enum_issue category=normalized; field=Polarity; raw=Positif; normalized=POSITIVE; Polarity normalized to POSITIVE.
info,Manager Lingkungan,16,OUTPUT,Pelaporan Progress Sanksi Administratif KLH,enum_issue category=normalized; field=Ownership Type; raw=Shared; normalized=SHARED; Ownership Type normalized to SHARED.
info,Manager Lingkungan,17,OUTPUT,Tingkat Pemenuhan kriteria PROPER Biru,enum_issue category=normalized; field=Period; raw=Triwulanan; normalized=TRIWULANAN; Period normalized to TRIWULANAN.
